downstream_bandwidth,connection_type,signal_strength,bitrate,chunk_size,app_throughput,delivery_time,player_state,chunk_index
50M,wifi,strong,300,16,454,0.035,steady,1
50M,wifi,strong,300,1295,16387,0.079,buffering,2
50M,wifi,strong,300,1133,27637,0.041,buffering,3
50M,wifi,strong,300,1097,28118,0.039,buffering,4
50M,wifi,strong,750,3601,54559,0.066,buffering,5
50M,wifi,strong,1200,4122,34070,0.121,steady,1
50M,wifi,strong,4300,14276,60490,0.236,steady,1
50M,wifi,strong,4300,19534,67359,0.29,steady,1
50M,wifi,strong,4300,33450,76897,0.435,steady,1
50M,wifi,strong,4300,21383,70109,0.305,steady,1
50M,wifi,strong,4300,25144,69651,0.361,steady,1
50M,wifi,strong,4300,20232,69526,0.291,steady,1
50M,wifi,strong,4300,16336,65607,0.249,steady,1
50M,wifi,strong,4300,10804,56864,0.19,steady,1
50M,wifi,strong,4300,8772,52213,0.1679999999999999,steady,1
50M,wifi,strong,4300,16211,65105,0.249,steady,1
50M,wifi,strong,4300,16041,65206,0.246,steady,1
50M,wifi,strong,4300,11312,58312,0.1939999999999999,steady,1
50M,wifi,strong,4300,11374,58328,0.1949999999999999,steady,1
50M,wifi,strong,4300,8777,52556,0.1669999999999999,steady,1
50M,wifi,strong,4300,11770,58852,0.1999999999999999,steady,1
50M,wifi,strong,4300,20852,70207,0.297,steady,1
50M,wifi,strong,4300,21456,70810,0.303,steady,1
50M,wifi,strong,4300,16022,62344,0.257,steady,1
50M,wifi,strong,4300,17265,66660,0.259,steady,1
50M,wifi,strong,4300,38105,75907,0.502,steady,1
50M,wifi,strong,4300,24234,72776,0.333,steady,1
50M,wifi,strong,4300,13749,61931,0.222,steady,1
50M,wifi,strong,4300,26128,74017,0.353,steady,1
50M,wifi,strong,4300,40873,78753,0.519,steady,1
50M,wifi,strong,4300,45910,81256,0.5650000000000001,steady,1
50M,wifi,strong,4300,20032,69556,0.288,steady,1
50M,wifi,strong,4300,21574,70733,0.305,steady,1
50M,wifi,strong,4300,26547,68069,0.39,steady,1
50M,wifi,strong,4300,21315,67029,0.318,steady,1
50M,wifi,strong,4300,7084,46302,0.153,steady,1
50M,wifi,strong,4300,10485,55182,0.19,steady,1
50M,wifi,strong,4300,11984,58746,0.204,steady,1
50M,wifi,strong,4300,6890,46242,0.149,steady,1
50M,wifi,strong,4300,2807,26736,0.105,steady,1
50M,wifi,strong,4300,3667,32170,0.114,steady,1
50M,wifi,strong,4300,3127,29224,0.107,steady,1
50M,wifi,strong,4300,4058,34390,0.118,steady,1
50M,wifi,strong,4300,6058,43269,0.1399999999999999,steady,1
50M,wifi,strong,4300,4997,38733,0.129,steady,1
50M,wifi,strong,4300,15181,63520,0.239,steady,1
50M,wifi,strong,4300,18807,67166,0.28,steady,1
50M,wifi,strong,4300,8581,51384,0.1669999999999999,steady,1
50M,wifi,strong,4300,7318,47830,0.153,steady,1
50M,wifi,strong,4300,6354,44747,0.142,steady,1
50M,wifi,strong,4300,9185,49120,0.187,steady,1
50M,wifi,strong,4300,11808,58745,0.2009999999999999,steady,1
50M,wifi,strong,4300,12796,60934,0.21,steady,1
50M,wifi,strong,4300,15220,64491,0.236,steady,1
50M,wifi,strong,4300,10239,55948,0.183,steady,1
50M,wifi,strong,4300,10236,55935,0.183,steady,1
50M,wifi,strong,4300,11984,59620,0.2009999999999999,steady,1
50M,wifi,strong,4300,11856,58406,0.2029999999999999,steady,1
50M,wifi,strong,4300,17144,66709,0.257,steady,1
50M,wifi,strong,4300,17120,64850,0.264,steady,1
50M,wifi,strong,4300,16822,65710,0.256,steady,1
50M,wifi,strong,4300,13561,61921,0.219,steady,1
50M,wifi,strong,4300,15398,64158,0.24,steady,1
50M,wifi,strong,4300,17495,67549,0.259,steady,1
50M,wifi,strong,4300,19004,68606,0.277,steady,1
50M,wifi,strong,4300,13441,61938,0.217,steady,1
50M,wifi,strong,4300,10963,56512,0.1939999999999999,steady,1
50M,wifi,strong,4300,15333,64695,0.237,steady,1
50M,wifi,strong,4300,17315,66853,0.259,steady,1
50M,wifi,strong,4300,17023,66757,0.255,steady,1
50M,wifi,strong,4300,16475,65118,0.253,steady,1
50M,wifi,strong,4300,27163,74624,0.364,steady,1
50M,wifi,strong,4300,24546,72836,0.337,steady,1
50M,wifi,strong,4300,13085,61433,0.213,steady,1
50M,wifi,strong,4300,14473,63480,0.2279999999999999,steady,1
50M,wifi,strong,4300,25109,73204,0.343,steady,1
50M,wifi,strong,4300,19889,69543,0.286,steady,1
50M,wifi,strong,4300,26620,71558,0.372,steady,1
50M,wifi,strong,4300,47122,81668,0.5770000000000001,steady,1
50M,wifi,strong,4300,44565,80879,0.551,steady,1
50M,wifi,strong,4300,33635,77501,0.434,steady,1
50M,wifi,strong,4300,6088,43488,0.1399999999999999,steady,1
50M,wifi,strong,4300,17329,66908,0.259,steady,1
50M,wifi,strong,4300,20140,69690,0.289,steady,1
50M,wifi,strong,4300,17863,67408,0.265,steady,1
50M,wifi,strong,4300,12208,59844,0.204,steady,1
